1PG,20141021,0.39,0.41,0.39,0.395,2981581
3PL,20141021,2.28,2.28,2.28,2.28,22
8CO,20141021,0.235,0.235,0.235,0.235,10000
AAA,20141021,50.17,50.18,50.16,50.18,23584
AAC,20141021,1.48,1.492,1.455,1.455,1797124
AAD,20141021,3.18,3.25,3.17,3.23,1479341
AAR,20141021,0.013,0.013,0.013,0.013,200000
AAX,20141021,0.49,0.49,0.47,0.475,96608
ABC,20141021,3.25,3.31,3.25,3.28,1010686
ABP,20141021,2.6,2.62,2.59,2.59,931056
ABU,20141021,0.365,0.385,0.365,0.37,319591
ABV,20141021,0.006,0.006,0.006,0.006,1105007
ABW,20141021,1.03,1.03,1.03,1.03,140770
ABX,20141021,0.295,0.295,0.285,0.29,125526
ABY,20141021,0.215,0.215,0.215,0.215,29015
ACB,20141021,0.041,0.042,0.041,0.042,15000
ACG,20141021,0.085,0.085,0.081,0.081,182909
ACK,20141021,0.33,0.33,0.33,0.33,4834
ACL,20141021,0.65,0.65,0.63,0.63,192614
ACQ,20141021,0.83,0.83,0.825,0.825,30000
ACR,20141021,1.3,1.34,1.29,1.305,1066804
ADJ,20141021,0.125,0.13,0.125,0.125,1020600
ADN,20141021,0.028,0.028,0.027,0.028,338199
ADO,20141021,0.15,0.155,0.135,0.135,2823378
ADQ,20141021,0.008,0.009,0.008,0.009,200693
ADX,20141021,0.01,0.01,0.01,0.01,3200000
ADY,20141021,0.025,0.027,0.025,0.027,444500
AEB,20141021,0.072,0.072,0.072,0.072,22000
AEF,20141021,43.24,43.24,41,43,268
AEK,20141021,0.065,0.065,0.063,0.063,448625
AEM,20141021,0.011,0.012,0.011,0.012,1000000
AFI,20141021,5.87,5.91,5.86,5.91,281424
AFJ,20141021,1.34,1.34,1.31,1.315,139846
AFR,20141021,0.075,0.076,0.067,0.067,476197
AGB,20141021,0.28,0.28,0.28,0.28,50000
AGE,20141021,0.038,0.039,0.038,0.039,225000
AGF,20141021,0.785,0.79,0.775,0.775,165557
AGG,20141021,2.3,2.3,2.2,2.2,8750
AGI,20141021,2.99,3.05,2.95,2.98,609163
AGK,20141021,13.88,13.9,13.75,13.75,1143591
AGO,20141021,0.385,0.385,0.36,0.37,14919646
AGR,20141021,0.043,0.045,0.043,0.045,250419
AGS,20141021,0.185,0.195,0.185,0.19,209848
AGX,20141021,0.014,0.014,0.014,0.014,50000
AHD,20141021,9.57,9.57,9.36,9.54,14251
AHE,20141021,3.67,3.7,3.62,3.62,420784
AHN,20141021,0.023,0.023,0.023,0.023,86306
AHY,20141021,1.985,2,1.97,1.99,1654035
AHZ,20141021,0.135,0.135,0.13,0.13,1170605
AIA,20141021,3.45,3.49,3.45,3.49,4297
AIO,20141021,5.86,5.89,5.83,5.88,2731532
AIR,20141021,0.1,0.1,0.1,0.1,23798
AIW,20141021,0.003,0.003,0.003,0.003,2218977
AIZ,20141021,1.7,1.7,1.7,1.7,12500
AJA,20141021,4.3,4.36,4.27,4.36,64456
AJD,20141021,1.085,1.085,1.07,1.07,419063
AJL,20141021,0.69,0.69,0.69,0.69,12274
AJM,20141021,0.105,0.11,0.105,0.11,64200
AJQ,20141021,0.09,0.091,0.089,0.09,347222
AJX,20141021,0.16,0.17,0.16,0.16,457272
AKA,20141021,0.071,0.071,0.07,0.07,368926
AKF,20141021,0.12,0.12,0.12,0.12,52037
AKG,20141021,1.27,1.27,1.27,1.27,71250
AKK,20141021,0.013,0.013,0.012,0.012,1599662
AKM,20141021,0.045,0.045,0.043,0.043,40000
AKP,20141021,9.8,10,9,9.5,15811
AKY,20141021,73.66,73.66,73.66,73.66,200
ALA,20141021,0.175,0.185,0.175,0.185,29000
ALF,20141021,1.515,1.535,1.515,1.515,254367
ALK,20141021,0.245,0.26,0.245,0.255,272342
ALL,20141021,6.2,6.39,6.18,6.35,3535514
ALQ,20141021,5.62,5.62,5.52,5.57,2018760
ALT,20141021,0.035,0.035,0.032,0.032,3266763
ALU,20141021,2.83,2.92,2.81,2.9,599693
ALY,20141021,0.016,0.016,0.015,0.015,4760
AMA,20141021,0.31,0.31,0.31,0.31,44002
AMC,20141021,11.19,11.325,11.15,11.22,3704844
AMH,20141021,0.9,0.9,0.89,0.89,18605
AMI,20141021,0.325,0.325,0.325,0.325,430500
AMM,20141021,1.98,1.98,1.92,1.925,438400
AMP,20141021,5.25,5.25,5.195,5.22,17507189
ANG,20141021,1.055,1.09,1.05,1.09,53745
ANI,20141021,2.04,2.05,2.02,2.02,144273
ANN,20141021,19.17,19.26,18.96,19.03,432301
ANO,20141021,0.025,0.026,0.025,0.026,50000
